customer_id,age,gender,location,income_level,annual_income,spending_score,purchase_frequency,avg_order_value,total_annual_spend,days_since_last_visit,num_categories_bought,loyalty_years,discount_usage_pct,online_purchase_pct,return_rate,support_tickets,preferred_category
CUST00001,22,Female,Suburban,Low,26408,18,24,116.89,2805.36,186,7,4,0.5,0.02,0.207,1,Fashion
CUST00002,59,Female,Rural,High,88624,51,1,334.83,334.83,167,10,8,0.73,0.78,0.191,4,Books
CUST00003,52,Female,Urban,Very High,157520,71,36,385.76,13887.36,27,1,0,0.19,0.16,0.189,7,Sports
CUST00004,41,Female,Urban,High,91128,41,24,91.65,2199.6,44,4,9,0.44,0.6,0.062,0,Electronics
CUST00005,40,Female,Suburban,Medium,48161,38,41,31.49,1291.09,218,3,5,0.53,0.68,0.174,10,Beauty
CUST00006,63,Female,Suburban,Low,12010,17,33,225.4,7438.2,208,6,6,0.74,0.28,0.188,1,Travel
CUST00007,22,Male,Suburban,Very High,151777,72,41,389.27,15960.07,203,6,2,0.96,0.57,0.171,8,Fashion
CUST00008,54,Female,Urban,Very High,152318,68,24,328.88,7893.12,58,9,5,0.85,0.24,0.056,6,Travel
CUST00009,28,Female,Urban,Medium,57495,22,1,353.92,353.92,187,10,0,0.62,0.95,0.217,9,Books
CUST00010,22,Male,Suburban,Medium,53491,27,7,207.39,1451.73,23,8,9,0.58,0.86,0.022,8,Beauty
CUST00011,45,Male,Urban,Medium,42474,23,24,125.12,3002.88,53,2,8,0.6,0.29,0.177,5,Grocery
CUST00012,69,Female,Urban,Medium,51074,15,21,270.57,5681.97,183,1,4,0.55,0.53,0.131,8,Electronics
CUST00013,56,Male,Suburban,Low,23885,1,42,110.14,4625.88,226,9,9,0.06,0.5,0.075,3,Home & Garden
CUST00014,58,Male,Suburban,Low,19945,9,22,365.85,8048.7,240,10,8,0.7,0.96,0.242,6,Books
CUST00015,56,Male,Rural,Low,18870,18,45,106.51,4792.95,359,3,1,0.72,0.39,0.053,10,Sports
CUST00016,59,Male,Urban,High,94959,36,10,152.72,1527.2,312,1,0,0.51,0.56,0.28,0,Beauty
CUST00017,45,Male,Urban,Low,21782,7,21,258.21,5422.41,139,7,2,0.87,0.93,0.265,3,Books
CUST00018,24,Female,Rural,Low,22902,1,40,248.49,9939.6,286,6,0,0.67,0.16,0.108,0,Grocery
CUST00019,62,Male,Urban,Medium,49426,16,7,304.42,2130.94,35,9,6,0.36,0.55,0.092,5,Electronics
CUST00020,41,Female,Urban,Low,16449,11,17,224.35,3813.95,313,6,5,0.02,0.11,0.041,8,Travel
CUST00021,44,Female,Urban,Low,20305,3,40,460.54,18421.6,142,8,5,0.06,0.62,0.275,0,Sports
CUST00022,37,Male,Suburban,Medium,57346,21,31,421.57,13068.67,278,8,0,0.35,0.37,0.188,6,Sports
CUST00023,27,Male,Rural,Medium,51643,40,41,440.77,18071.57,355,1,10,0.46,0.97,0.01,4,Sports
CUST00024,67,Female,Suburban,Medium,53316,16,27,318.46,8598.42,257,2,10,0.17,0.42,0.153,8,Books
CUST00025,59,Male,Suburban,Very High,143986,61,45,321.15,14451.75,336,8,6,0.19,0.14,0.026,2,Books
CUST00026,52,Male,Urban,Low,27808,26,46,308.51,14191.46,4,2,0,0.23,0.83,0.172,1,Beauty
CUST00027,39,Female,Urban,Very High,145915,74,51,223.09,11377.59,63,3,4,0.78,0.82,0.153,1,Books
CUST00028,61,Other,Urban,Very High,157541,64,7,167.83,1174.81,229,8,7,0.77,0.69,0.025,4,Grocery
CUST00029,46,Female,Urban,High,89132,42,31,300.08,9302.48,198,3,8,0.38,0.75,0.245,5,Beauty
CUST00030,41,Male,Urban,Medium,56703,30,6,22.51,135.06,44,2,2,0.17,0.26,0.079,10,Travel
CUST00031,41,Female,Urban,Medium,56269,20,12,13.65,163.8,263,1,9,0.11,0.64,0.162,5,Fashion
CUST00032,30,Female,Urban,Medium,54086,28,16,427.3,6836.8,22,5,10,0.09,0.04,0.192,1,Sports
CUST00033,22,Male,Suburban,High,96663,53,34,32.75,1113.5,362,7,5,0.39,0.2,0.289,7,Beauty
CUST00034,47,Female,Suburban,Low,21751,2,23,267.15,6144.45,58,8,4,0.05,0.93,0.148,0,Sports
CUST00035,65,Male,Urban,Very High,155581,87,45,311.34,14010.3,163,10,5,0.33,0.74,0.275,3,Travel
CUST00036,21,Male,Urban,Medium,44754,21,16,107.1,1713.6,301,7,0,0.96,0.23,0.106,7,Home & Garden
CUST00037,63,Female,Suburban,High,83124,55,33,448.91,14814.03,188,8,5,0.51,0.11,0.257,2,Fashion
CUST00038,61,Male,Suburban,Medium,50694,12,40,103.15,4126.0,272,3,0,0.82,0.95,0.071,6,Fashion
CUST00039,32,Male,Suburban,Low,24958,7,51,443.41,22613.91,257,4,0,0.13,0.11,0.212,4,Books
CUST00040,51,Female,Urban,Medium,54246,34,13,383.87,4990.31,347,4,6,0.27,0.26,0.027,10,Beauty
CUST00041,26,Other,Suburban,Medium,50446,37,39,127.96,4990.44,170,1,5,0.95,0.18,0.296,3,Sports
CUST00042,58,Female,Urban,Medium,50334,16,5,83.86,419.3,358,10,10,0.38,0.01,0.286,9,Home & Garden
CUST00043,55,Female,Urban,Medium,51758,40,29,164.95,4783.55,189,3,5,0.65,0.31,0.133,6,Home & Garden
CUST00044,36,Other,Urban,Low,25892,2,22,205.0,4510.0,327,5,10,0.98,0.97,0.157,8,Travel
CUST00045,21,Male,Urban,Medium,55469,24,50,130.43,6521.5,268,4,8,0.55,0.34,0.179,1,Beauty
CUST00046,69,Male,Urban,Medium,43754,15,41,499.46,20477.86,49,1,3,0.31,0.5,0.083,0,Travel
CUST00047,41,Male,Urban,Very High,151532,73,49,122.53,6003.97,235,10,10,0.53,0.75,0.202,8,Books
CUST00048,65,Male,Suburban,Low,18095,21,45,417.01,18765.45,321,3,5,0.05,0.55,0.21,5,Books
CUST00049,53,Female,Urban,Medium,54791,34,22,87.97,1935.34,47,2,6,0.11,0.74,0.158,3,Sports
CUST00050,59,Male,Urban,Medium,50095,34,39,490.32,19122.48,307,4,1,0.01,0.66,0.044,9,Fashion
CUST00051,58,Male,Urban,Medium,57862,20,2,120.51,241.02,39,2,2,0.88,0.61,0.276,3,Beauty
CUST00052,28,Male,Urban,Medium,48917,38,30,216.63,6498.9,318,10,5,0.67,0.65,0.035,4,Beauty
CUST00053,37,Male,Urban,Medium,52866,24,3,283.7,851.1,288,2,2,0.3,0.8,0.189,7,Sports
CUST00054,42,Female,Urban,Very High,143737,76,38,68.94,2619.72,56,4,6,0.22,0.71,0.031,10,Electronics
CUST00055,44,Male,Urban,Medium,56918,34,51,410.24,20922.24,266,3,0,0.68,0.79,0.044,9,Travel
CUST00056,20,Male,Suburban,High,84456,47,36,144.6,5205.6,43,1,2,0.92,0.15,0.006,7,Books
CUST00057,46,Male,Rural,Low,18054,12,44,279.14,12282.16,208,1,7,0.3,0.68,0.109,1,Grocery
CUST00058,26,Female,Urban,Medium,55402,26,13,279.32,3631.16,338,6,6,0.32,0.74,0.192,1,Home & Garden
CUST00059,57,Female,Suburban,Medium,57479,33,52,305.29,15875.08,76,3,10,0.85,0.3,0.156,7,Electronics
CUST00060,54,Female,Rural,Low,19750,22,29,37.19,1078.51,64,1,9,0.89,0.87,0.202,5,Travel
CUST00061,66,Male,Rural,Medium,49756,21,36,92.62,3334.32,155,3,8,0.91,0.3,0.203,1,Fashion
CUST00062,57,Male,Suburban,High,82779,41,41,88.98,3648.18,135,3,0,0.29,0.24,0.042,7,Home & Garden
CUST00063,37,Female,Rural,High,97662,38,34,158.01,5372.34,18,5,6,0.12,0.87,0.017,10,Home & Garden
CUST00064,69,Female,Rural,Medium,42263,17,17,81.01,1377.17,167,10,2,0.44,0.25,0.188,0,Grocery
CUST00065,39,Female,Suburban,Medium,42417,29,32,461.74,14775.68,95,4,2,0.3,0.42,0.196,9,Beauty
CUST00066,35,Female,Urban,Medium,49576,28,35,261.35,9147.25,46,8,2,0.88,0.37,0.167,3,Travel
CUST00067,65,Female,Urban,Low,12058,1,45,315.55,14199.75,101,8,5,0.04,0.9,0.074,4,Books
CUST00068,37,Male,Urban,Low,14630,8,26,185.17,4814.42,8,1,1,0.63,0.46,0.243,7,Sports
CUST00069,22,Male,Urban,High,92044,56,27,145.36,3924.72,334,6,5,0.91,0.69,0.023,2,Fashion
CUST00070,42,Female,Urban,Very High,153282,64,27,256.56,6927.12,363,5,1,0.98,0.79,0.19,1,Books
CUST00071,60,Male,Urban,Low,16771,1,6,154.22,925.32,135,6,5,0.65,0.63,0.036,10,Grocery
CUST00072,28,Female,Suburban,Medium,54725,24,5,178.39,891.95,320,2,6,0.95,0.94,0.196,3,Travel
CUST00073,42,Female,Suburban,High,91724,50,2,231.85,463.7,169,5,1,0.08,0.8,0.125,1,Home & Garden
CUST00074,24,Female,Suburban,High,85652,36,35,257.81,9023.35,334,2,1,0.36,0.4,0.215,7,Sports
CUST00075,54,Female,Urban,Medium,53399,36,22,492.31,10830.82,64,10,8,0.01,0.95,0.016,2,Home & Garden
CUST00076,43,Female,Urban,Medium,51475,36,46,119.43,5493.78,104,6,8,0.98,0.52,0.167,8,Home & Garden
CUST00077,35,Female,Suburban,High,94994,48,37,249.11,9217.07,271,1,2,0.9,0.02,0.043,0,Fashion
CUST00078,30,Female,Suburban,High,84471,38,8,83.26,666.08,81,6,9,0.03,0.26,0.205,5,Sports
CUST00079,47,Female,Rural,Low,15693,1,6,181.5,1089.0,301,10,2,0.02,0.62,0.036,4,Home & Garden
CUST00080,53,Male,Rural,Very High,146857,83,20,361.48,7229.6,156,8,10,0.37,0.16,0.022,10,Books
CUST00081,67,Female,Rural,Low,17462,20,48,95.49,4583.52,148,3,1,0.26,0.58,0.214,5,Home & Garden
CUST00082,41,Female,Urban,High,96221,46,3,294.86,884.58,166,9,7,0.85,0.36,0.019,10,Travel
CUST00083,26,Male,Urban,Low,23721,12,10,214.18,2141.8,292,2,0,0.16,0.53,0.067,2,Grocery
CUST00084,62,Male,Urban,Low,20706,18,2,35.27,70.54,3,3,2,0.79,0.0,0.247,5,Grocery
CUST00085,51,Female,Suburban,Low,20647,16,22,467.21,10278.62,275,2,4,0.55,0.85,0.243,8,Electronics
CUST00086,55,Female,Rural,Medium,56175,17,52,212.67,11058.84,285,10,0,0.38,0.36,0.256,1,Beauty
CUST00087,23,Male,Urban,Medium,49149,29,36,394.12,14188.32,300,8,5,0.15,0.14,0.098,10,Electronics
CUST00088,34,Male,Suburban,Low,15604,20,26,213.99,5563.74,364,6,2,1.0,0.44,0.158,8,Grocery
CUST00089,58,Male,Urban,Medium,44190,30,8,469.31,3754.48,286,7,1,0.62,0.49,0.232,7,Travel
CUST00090,62,Male,Urban,Medium,47280,22,19,152.33,2894.27,193,3,10,0.44,0.64,0.041,2,Sports
CUST00091,41,Female,Urban,High,92453,47,28,211.99,5935.72,171,1,10,0.37,0.52,0.217,8,Sports
CUST00092,60,Male,Urban,High,89535,37,15,381.84,5727.6,142,9,10,0.91,0.04,0.029,9,Books
CUST00093,62,Male,Rural,High,88748,49,37,178.4,6600.8,302,10,1,0.82,0.87,0.274,3,Books
CUST00094,38,Female,Urban,Low,19681,1,51,188.53,9615.03,144,1,4,0.81,0.46,0.191,6,Travel
CUST00095,65,Male,Suburban,Medium,57598,23,11,497.46,5472.06,210,1,3,0.62,0.08,0.148,0,Beauty
CUST00096,33,Male,Suburban,Very High,157963,71,14,282.25,3951.5,36,6,3,0.89,0.77,0.145,4,Home & Garden
CUST00097,30,Female,Urban,Low,14580,2,7,347.8,2434.6,116,1,4,0.3,0.66,0.054,1,Fashion
CUST00098,54,Female,Urban,Medium,43831,17,38,325.3,12361.4,98,8,5,0.7,0.65,0.104,6,Grocery
CUST00099,51,Other,Suburban,Very High,145909,59,25,415.68,10392.0,159,10,5,0.4,0.43,0.218,6,Beauty
CUST00100,25,Female,Urban,Very High,155632,84,15,432.29,6484.35,184,3,3,0.6,0.41,0.162,5,Grocery
CUST00101,62,Male,Rural,Medium,49352,22,12,286.0,3432.0,262,3,10,1.0,0.54,0.159,7,Beauty
CUST00102,28,Female,Urban,High,95819,61,4,154.33,617.32,158,9,10,0.98,0.05,0.059,10,Fashion
CUST00103,60,Female,Suburban,Medium,52348,16,25,21.17,529.25,55,4,3,0.51,0.3,0.207,2,Electronics
CUST00104,18,Female,Suburban,High,90851,50,36,311.06,11198.16,199,3,2,0.57,0.99,0.118,2,Grocery
CUST00105,60,Other,Urban,Low,16504,1,13,414.48,5388.24,20,1,5,0.9,0.66,0.055,2,Fashion
CUST00106,59,Female,Urban,Low,17504,9,1,230.76,230.76,310,9,4,0.99,0.42,0.283,10,Books
CUST00107,59,Female,Rural,Medium,44363,22,25,90.71,2267.75,282,10,10,0.78,0.22,0.152,1,Home & Garden
CUST00108,53,Male,Urban,Low,20308,8,36,151.16,5441.76,83,1,4,0.07,0.75,0.158,0,Home & Garden
CUST00109,42,Female,Urban,High,86486,48,18,259.89,4678.02,97,9,0,0.32,0.26,0.294,1,Home & Garden
CUST00110,55,Male,Urban,Medium,46679,33,14,419.97,5879.58,11,2,1,0.9,0.16,0.11,8,Grocery
CUST00111,32,Female,Urban,High,82632,35,9,94.16,847.44,134,2,0,0.77,0.15,0.283,6,Travel
CUST00112,59,Female,Suburban,High,94786,58,39,309.95,12088.05,14,4,4,0.74,0.73,0.208,10,Beauty
CUST00113,47,Other,Suburban,Medium,57029,18,45,379.15,17061.75,342,5,3,0.67,0.64,0.19,2,Fashion
CUST00114,42,Other,Urban,High,89972,38,41,468.66,19215.06,49,9,9,0.42,0.07,0.07,4,Fashion
CUST00115,44,Male,Suburban,Medium,50577,19,27,67.18,1813.86,241,7,9,0.4,0.12,0.016,6,Electronics
CUST00116,48,Female,Urban,Medium,56814,42,38,463.93,17629.34,209,2,1,0.81,0.63,0.131,0,Grocery
CUST00117,19,Female,Urban,Low,20184,1,21,304.72,6399.12,87,6,10,0.29,0.57,0.003,10,Beauty
CUST00118,25,Male,Suburban,High,91963,42,2,385.68,771.36,295,9,6,0.68,0.69,0.021,8,Travel
CUST00119,31,Male,Rural,High,88849,42,20,36.35,727.0,40,7,3,0.73,0.18,0.179,1,Home & Garden
CUST00120,24,Male,Urban,Very High,150229,84,37,258.01,9546.37,324,3,4,0.84,0.73,0.217,9,Electronics
CUST00121,41,Female,Urban,High,90350,45,34,315.09,10713.06,271,2,4,0.32,0.94,0.05,4,Electronics
CUST00122,53,Female,Suburban,Very High,153377,90,52,160.35,8338.2,232,5,1,0.74,0.6,0.22,3,Home & Garden
CUST00123,52,Other,Suburban,Low,21667,17,52,221.51,11518.52,322,5,9,0.11,0.2,0.285,10,Grocery
CUST00124,42,Male,Urban,Very High,150063,81,13,281.61,3660.93,148,4,0,0.14,0.68,0.223,5,Sports
